Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference
22/05/2024,22/05/2024,BPAY PAYMENT-THANK YOU REC # 8112686749,-3789.15,,,,,BPAY PAYMENT-THANK YOU REC # 8112686749,,,,,'AT241430022000010011393'
22/05/2024,23/05/2024,EDITION ROASTERS MC,-1.20,,,,AEDMO,EDITION ROASTERS MC,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241440004000010053605'
22/05/2024,23/05/2024,EDITION ROASTERS MC 124 SYDNEY,6.00,,,,,EDITION ROASTERS MC 124 SYDNEY,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241440004000010037791'
22/05/2024,24/05/2024,PAYPAL *CANCERCOUNC     01300656585,5.28,,,,,PAYPAL *CANCERCOUNC     01300656585,"615 ST
KILDA ROAD","MELBOURNE
VIC",3004,AUSTRALIA,'AT241450004000010001746'
21/05/2024,23/05/2024,BOOM CAFE,-4.00,,,,AEDMO,BOOM CAFE,5 124 ROWE STREET,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241440004000010000276'
21/05/2024,22/05/2024,BOOM CAFE 111667        EASTWOOD,20.00,,,,,BOOM CAFE 111667        EASTWOOD,5 124 ROWE STREET,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241430004000010002548'
21/05/2024,23/05/2024,COLES WEST RYDE 968     WEST RYDE,34.65,,,,,COLES WEST RYDE 968     WEST RYDE,WEST RYDE CHATHAM ROAD BETTS ST,"WEST RYDE
NSW",2114,AUSTRALIA,'AT241440004000010021800'
20/05/2024,21/05/2024,ESSENTIAL THAI PTY LTD  EASTWOOD,60.90,,,,,ESSENTIAL THAI PTY LTD  EASTWOOD,SUITE 2 26 ROWE STREET,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241420004000010012270'
20/05/2024,20/05/2024,LIM'S HOT BREAD         Eastwood,9.60,,,,,LIM'S HOT BREAD         Eastwood,10 PROGRESS AVENUE,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241410004000010037741'
19/05/2024,20/05/2024,CENTURY VENUES MARRICKV MARRICKVILLE,112.00,,,,,CENTURY VENUES MARRICKV MARRICKVILLE,"105 VICTORIA ROAD
105","MARRICKVILLE
NSW",2204,AUSTRALIA,'AT241410009000010010408'
19/05/2024,20/05/2024,EDITION ROASTERS,-1.32,,,,AEDMO,EDITION ROASTERS,60 DARLING DRIVE,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241410004000010064575'
19/05/2024,20/05/2024,EDITION ROASTERS 79951  HAYMARKET,6.60,,,,,EDITION ROASTERS 79951  HAYMARKET,60 DARLING DRIVE,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241410004000010059247'
18/05/2024,18/05/2024,KAPPUCCINO,-0.84,,,,AEDMO,KAPPUCCINO,373 375 BULWARA ROAD,"ULTIMO
NSW",2007,AUSTRALIA,'AT241390009000010010482'
18/05/2024,18/05/2024,KAPPUCCINO              Ultimo,4.20,,,,,KAPPUCCINO              Ultimo,373 375 BULWARA ROAD,"ULTIMO
NSW",2007,AUSTRALIA,'AT241390004000010023273'
18/05/2024,19/05/2024,KINDLE SVCS             503-7150002,19.99,,,,,KINDLE SVCS             503-7150002,410 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,'AT241400004000010001564'
18/05/2024,19/05/2024,WOOLWORTHS 1129 MACQUAR NORTH RYDE,3.00,,,,,WOOLWORTHS 1129 MACQUAR NORTH RYDE,"MACQUARIE CENTRE
109 WATERLOO ROAD","MACQUARIE PARK
NSW",2113,AUSTRALIA,'AT241400004000010018436'
17/05/2024,18/05/2024,PAYPAL *UFC.TV          5166228300,10.99,,,,,PAYPAL *UFC.TV          5166228300,1 YORK STREET,"SYDNEY
NSW",2000,AUSTRALIA,'AT241390004000010063457'
17/05/2024,18/05/2024,THE Q ON HARRIS,-0.80,,,,AEDMO,THE Q ON HARRIS,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241390004000010018713'
17/05/2024,18/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.00,,,,,THE Q ON HARRIS 58996   ULTIMO,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241390004000010015517'
16/05/2024,17/05/2024,EDITION ROASTERS 79951  HAYMARKET,6.00,,,,,EDITION ROASTERS 79951  HAYMARKET,60 DARLING DRIVE,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241380004000010053627'
16/05/2024,18/05/2024,MYHEALTH DARLING SQUARE SYDNEY,72.47,,,,,MYHEALTH DARLING SQUARE SYDNEY,SHOP 1 64 DARLING DRIVE,"SYDNEY
NSW",2000,AUSTRALIA,'AT241390004000010043347'
16/05/2024,17/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.00,,,,,THE Q ON HARRIS 58996   ULTIMO,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241380004000010055291'
15/05/2024,16/05/2024,CITY DAE JANG KUM       HAYMARKET,51.90,,,,,CITY DAE JANG KUM       HAYMARKET,35 GOULBURN STREET,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241370004000010021755'
15/05/2024,17/05/2024,HARRIS FARM MARKETS     BROADWAY,18.99,,,,,HARRIS FARM MARKETS     BROADWAY,"SHOP LG6 BROADWAY S/C
1 BAY STREET","ULTIMO
NSW",2007,AUSTRALIA,'AT241380004000010018749'
15/05/2024,16/05/2024,ZILIA                   SYDNEY,7.65,,,,,ZILIA                   SYDNEY,"SHOP 6.13 MLC CENTRE
19-29 MARTIN PLACE","SYDNEY
NSW",2000,AUSTRALIA,'AT241370004000010046075'
14/05/2024,14/05/2024,EDITION ROASTERS MC 124 SYDNEY,5.00,,,,,EDITION ROASTERS MC 124 SYDNEY,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241350010000010002952'
14/05/2024,16/05/2024,GUZMAN Y GOMEZ MARTIN P SYDNEY,16.90,,,,,GUZMAN Y GOMEZ MARTIN P SYDNEY,"SHOP 14 LEVEL 6 MLC CENTRE FOOD
COURT MARTIN PLACE CASTLEREAGH STREET","SYDNEY
NSW",2000,AUSTRALIA,'AT241370004000010017095'
13/05/2024,14/05/2024,AN VIET EASTWOOD PTY 16 EASTWOOD,19.90,,,,,AN VIET EASTWOOD PTY 16 EASTWOOD,10 1 GLEN STREET,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241350004000010057381'
13/05/2024,13/05/2024,GLOBIRD ENERGY PTY LTD  RINGWOOD,33.74,,,,,GLOBIRD ENERGY PTY LTD  RINGWOOD,"UNIT 10
613 WHITEHORSE ROAD","RINGWOOD
VIC",3134,AUSTRALIA,'AT241340009000010008487'
12/05/2024,13/05/2024,LS PRIDE ONE HOLDINGS   RYDE,9.40,,,,,LS PRIDE ONE HOLDINGS   RYDE,2 COLLINGRIDGE DRIVE,RYDE,2112,AUSTRALIA,'AT241340004000010063377'
12/05/2024,13/05/2024,PANTRY STORY            STANMORE,34.81,,,,,PANTRY STORY            STANMORE,336 PARRAMATTA ROAD,"STANMORE
NSW",2048,AUSTRALIA,'AT241340004000010062169'
11/05/2024,12/05/2024,Craig Cook The Natural  BROADWAY,20.31,,,,,Craig Cook The Natural  BROADWAY,"SHOP 3-4 BROADWAY S/C
1 BAY STREET","ULTIMO
NSW",2007,AUSTRALIA,'AT241330003000010061386'
11/05/2024,12/05/2024,HARRIS FARM MARKETS     BROADWAY,22.99,,,,,HARRIS FARM MARKETS     BROADWAY,"SHOP LG6 BROADWAY S/C
1 BAY STREET","ULTIMO
NSW",2007,AUSTRALIA,'AT241330003000010003645'
11/05/2024,11/05/2024,LS VIA ARTISTS          SYDNEY,138.00,,,,,LS VIA ARTISTS          SYDNEY,"188 PITT STREET
SHOP 1001D","SYDNEY
NSW",2000,AUSTRALIA,'AT241320004000010054302'
11/05/2024,12/05/2024,MUJI RETAIL (AUSTRALIA) SYDNEY,3.75,,,,,MUJI RETAIL (AUSTRALIA) SYDNEY,"MUJI THE GALERIES
SHOP RP104 PODIUM ONE
500 GEORGE STREET","SYDNEY
NSW",2000,AUSTRALIA,'AT241330003000010069348'
11/05/2024,12/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.00,,,,,THE Q ON HARRIS 58996   ULTIMO,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241330003000010031861'
11/05/2024,13/05/2024,WW METRO 1449 PYRMONT   PYRMONT,36.70,,,,,WW METRO 1449 PYRMONT   PYRMONT,63 MILLER ST,"PYRMONT
NSW",2009,AUSTRALIA,'AT241340004000010012271'
10/05/2024,10/05/2024,ALL PURPOSE BAKERY      Sydney,16.66,,,,,ALL PURPOSE BAKERY      Sydney,9 BARRACK STREET,"SYDNEY
NSW",2000,AUSTRALIA,'AT241310004000010057031'
10/05/2024,12/05/2024,GONG GROCER             SYDNEY,19.25,,,,,GONG GROCER             SYDNEY,644 GEORGE ST,"SYDNEY
NSW",2000,AUSTRALIA,'AT241330003000010054580'
10/05/2024,11/05/2024,LIQUORLAND EXP SYD WORL SYDNEY,22.00,,,,,LIQUORLAND EXP SYD WORL SYDNEY,"WORLD SQUARE
SHOP 9 650 GEORGE ST","SYDNEY
NSW",2000,AUSTRALIA,'AT241320004000010008407'
10/05/2024,11/05/2024,ZILIA                   SYDNEY,15.81,,,,,ZILIA                   SYDNEY,"SHOP 6.13 MLC CENTRE
19-29 MARTIN PLACE","SYDNEY
NSW",2000,AUSTRALIA,'AT241320004000010057129'
09/05/2024,09/05/2024,OUTTA COFFEE PTY LTD    Haymarket,10.00,,,,,OUTTA COFFEE PTY LTD    Haymarket,17 VALENTINE ST,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241300009000010007715'
09/05/2024,10/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.00,,,,,THE Q ON HARRIS 58996   ULTIMO,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241310004000010047683'
08/05/2024,09/05/2024,PAYPAL *NETFLIX AUS     4085403700,22.99,,,,,PAYPAL *NETFLIX AUS     4085403700,BUSINESS BAKER MCKENSIE LEVEL 19,"MELBOURNE
VIC",3000,AUSTRALIA,'AT241300003000010031797'
07/05/2024,08/05/2024,EDITION ROASTERS MC 124 SYDNEY,6.00,,,,,EDITION ROASTERS MC 124 SYDNEY,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241290004000010003030'
07/05/2024,08/05/2024,SYDNEY PARK CYCLERY     ST PETERS,70.00,,,,,SYDNEY PARK CYCLERY     ST PETERS,83-85 PRINCES HIGHWAY,"SAINT PETERS
NSW",2044,AUSTRALIA,'AT241290004000010032840'
06/05/2024,08/05/2024,PIXEL PERFECT PROLAB    ULTIMO,258.75,,,,,PIXEL PERFECT PROLAB    ULTIMO,"17-19 Mary Ann St
""TAFE Ultimo Campus, Building H""","Ultimo
NSW",2007,AUSTRALIA,'AT241290004000010021452'
06/05/2024,08/05/2024,THAI KEE IGA SUPERMARKE HAYMARKET,52.99,,,,,THAI KEE IGA SUPERMARKE HAYMARKET,"SHOP R 101 MARKET CITY
C 2A QUAY STREET","HAYMARKET
NSW",2000,AUSTRALIA,'AT241290004000010018726'
05/05/2024,06/05/2024,JB HI FI MACQUARIE,-10.00,,,,JB HiFi,JB HI FI MACQUARIE,"SHOP 429
MACQUARIE CENTRE CNR HERRING AND WATERLOO ROADS","NORTH RYDE
NSW",2113,AUSTRALIA,'AT241270004000010053893'
05/05/2024,06/05/2024,PANTRY STORY            STANMORE,19.36,,,,,PANTRY STORY            STANMORE,336 PARRAMATTA ROAD,"STANMORE
NSW",2048,AUSTRALIA,'AT241270004000010063292'
05/05/2024,05/05/2024,WWW.SIXPENNY.COM.AU     PETERSHAM,537.46,,,,,WWW.SIXPENNY.COM.AU     PETERSHAM,"49 NEW CANTERBERRY ROAD
UNIT 4","PETERSHAM
NSW",2049,AUSTRALIA,'AT241260010000010006310'
04/05/2024,05/05/2024,AN VIET EASTWOOD PTY 16 EASTWOOD,51.70,,,,,AN VIET EASTWOOD PTY 16 EASTWOOD,10 1 GLEN STREET,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241260004000010003173'
04/05/2024,06/05/2024,APEX PETROLEUM WEST RYD WEST RYDE,107.50,,,,,APEX PETROLEUM WEST RYD WEST RYDE,989-902 VICTORIA ROAD,"WEST RYDE
NSW",2114,AUSTRALIA,'AT241270004000010042871'
04/05/2024,06/05/2024,GOOGLE *YOUTUBE         G.CO/HELPPAY#,2.00,,,,,GOOGLE *YOUTUBE         G.CO/HELPPAY#,"50 BRIDGE STREET
LEVEL 27 AMP CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241270004000010001265'
04/05/2024,06/05/2024,JB HI FI MACQUARIE      NORTH RYDE,234.60,,,,,JB HI FI MACQUARIE      NORTH RYDE,"SHOP 429
MACQUARIE CENTRE CNR HERRING AND WATERLOO ROADS","NORTH RYDE
NSW",2113,AUSTRALIA,'AT241270004000010035772'
04/05/2024,05/05/2024,OFFICEWORKS WEST RYDE - WEST RYDE,3.40,,,,,OFFICEWORKS WEST RYDE - WEST RYDE,1927-933 VICTORIA ROAD,"WEST RYDE
NSW",2114,AUSTRALIA,'AT241260004000010026164'
04/05/2024,05/05/2024,OFFICEWORKS WEST RYDE - WEST RYDE,3.97,,,,,OFFICEWORKS WEST RYDE - WEST RYDE,1927-933 VICTORIA ROAD,"WEST RYDE
NSW",2114,AUSTRALIA,'AT241260004000010026165'
04/05/2024,04/05/2024,UNIQLO AUSTRALIA PTY LT MELBOURNE,54.90,,,,,UNIQLO AUSTRALIA PTY LT MELBOURNE,"SHOP 0004
MACQUARIE CENTRE
WATERLOO ROAD","NORTH RYDE
NSW",2113,AUSTRALIA,'AT241250009000010001607'
03/05/2024,04/05/2024,CALI PRESS - MARTIN PLA SYDNEY,16.06,,,,,CALI PRESS - MARTIN PLA SYDNEY,215 COOGEE BAY ROAD,"COOGEE
NSW",2034,AUSTRALIA,'AT241250004000010027106'
03/05/2024,04/05/2024,CITY PHYSIO SYDNEY P/L  SYDNEY,136.00,,,,,CITY PHYSIO SYDNEY P/L  SYDNEY,STE 1004LVL 10 MLC CENTRE,"SYDNEY
NSW",2000,AUSTRALIA,'AT241250004000010029104'
03/05/2024,04/05/2024,EDITION ROASTERS MC 124 SYDNEY,6.00,,,,,EDITION ROASTERS MC 124 SYDNEY,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241250004000010001498'
02/05/2024,03/05/2024,PORTAFILTER             Sydney,4.50,,,,,PORTAFILTER             Sydney,"25 MARTIN PLACE
SHOP 1","SYDNEY
NSW",2000,AUSTRALIA,'AT241240003000010009720'
02/05/2024,03/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.00,,,,,THE Q ON HARRIS 58996   ULTIMO,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241240003000010056277'
01/05/2024,02/05/2024,CINNABON DARLING SQ 128 HAYMARKET,5.89,,,,,CINNABON DARLING SQ 128 HAYMARKET,SE12 88 HAY STREET,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241230003000010038921'
01/05/2024,01/05/2024,KAPPUCCINO              Ultimo,4.20,,,,,KAPPUCCINO              Ultimo,373 375 BULWARA ROAD,"ULTIMO
NSW",2007,AUSTRALIA,'AT241220004000010009341'
01/05/2024,02/05/2024,KRITTIYA PRASANSORN     PYRMONT,89.32,,,,,KRITTIYA PRASANSORN     PYRMONT,152313 HARRIS ST,"PYRMONT
NSW",2009,AUSTRALIA,'AT241230003000010022718'
01/05/2024,02/05/2024,MARKET CITY PHARMACY    HAYMARKET,31.60,,,,,MARKET CITY PHARMACY    HAYMARKET,SHOP R127 9 13 HAY STREET,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241230003000010027345'
01/05/2024,02/05/2024,ULTIMOMEDICALPRACTICE 1 ULTIMO,125.10,,,,,ULTIMOMEDICALPRACTICE 1 ULTIMO,82 MOUNTAIN STREET,"ULTIMO
NSW",2007,AUSTRALIA,'AT241230003000010037402'
30/04/2024,01/05/2024,EDITION ROASTERS MC 124 SYDNEY,6.00,,,,,EDITION ROASTERS MC 124 SYDNEY,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241220004000010003541'
30/04/2024,03/05/2024,PAYPAL *STEAM GAMES     4029357733,54.97,,,,,PAYPAL *STEAM GAMES     4029357733,9 RODINGSMARKT,"04258899642
000",20 459,UNITED KINGDOM OF GB AND NI,'AT241240003000010044593'
29/04/2024,30/04/2024,THE Q ON HARRIS 58996   ULTIMO,4.00,,,,,THE Q ON HARRIS 58996   ULTIMO,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241210004000010018145'
29/04/2024,01/05/2024,YONGHUI SUPERMARKET     EASTWOOD,8.00,,,,,YONGHUI SUPERMARKET     EASTWOOD,169 ROWE STREET,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241220004000010031594'
28/04/2024,29/04/2024,BONDS OUTLET            KEW,17.99,,,,,BONDS OUTLET            KEW,115 COTHAM ROAD,"KEW
VIC",3101,AUSTRALIA,'AT241200004000010044408'
28/04/2024,30/04/2024,VICTORIA'S BASEMENT     ALEXANDRIA,-59.95,,,,,VICTORIA'S BASEMENT     ALEXANDRIA,1 EUSTON ROAD,"ALEXANDRIA
NSW",2015,AUSTRALIA,'AT241210004000010040043'
28/04/2024,30/04/2024,VICTORIA'S BASEMENT     ALEXANDRIA,55.90,,,,,VICTORIA'S BASEMENT     ALEXANDRIA,1 EUSTON ROAD,"ALEXANDRIA
NSW",2015,AUSTRALIA,'AT241210004000010040042'
27/04/2024,28/04/2024,BUNNINGS LIDCOMBE 7173  LIDCOMBE,16.28,,,,,BUNNINGS LIDCOMBE 7173  LIDCOMBE,2329 PARRAMATTA ROAD,"LIDCOMBE
NSW",2141,AUSTRALIA,'AT241190003000010051839'
27/04/2024,28/04/2024,CN POULTRY EASTWOOD 849 EASTWOOD,15.71,,,,,CN POULTRY EASTWOOD 849 EASTWOOD,SHOP 4 1 LAKESIDE ROAD,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241190003000010067331'
27/04/2024,30/04/2024,PAYPAL *IKEA AU 4008.84 0280206641,19.00,,,,,PAYPAL *IKEA AU 4008.84 0280206641,630 PRINCES HIGHWAY,"TEMPE
NSW",2044,AUSTRALIA,'AT241210004000010026728'
27/04/2024,28/04/2024,RUMBLES FINE CAFE       EASTWOOD,23.30,,,,,RUMBLES FINE CAFE       EASTWOOD,136 ROWE ST,"EASTWOOD
NSW",2122,AUSTRALIA,'AT241190003000010055343'
27/04/2024,28/04/2024,SUPERFRESH              EASTWOOD,20.89,,,,,SUPERFRESH              EASTWOOD,"SHOP 8
NO 1 PROGRESS AVE","EASTWOOD
NSW",2122,AUSTRALIA,'AT241190003000010020865'
26/04/2024,27/04/2024,EDITION ROASTERS MC 124 SYDNEY,6.00,,,,,EDITION ROASTERS MC 124 SYDNEY,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241180004000010011114'
26/04/2024,26/04/2024,LETAO SYDNEY            Sydney,20.29,,,,,LETAO SYDNEY            Sydney,501 GEORGE STREET,"SYDNEY
NSW",2000,AUSTRALIA,'AT241170010000010001303'
26/04/2024,27/04/2024,THE Q ON HARRIS 58996   ULTIMO,4.00,,,,,THE Q ON HARRIS 58996   ULTIMO,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241180004000010012628'
25/04/2024,26/04/2024,BLACKBIRD AND CO        ERSKINEVILLE,5.18,,,,,BLACKBIRD AND CO        ERSKINEVILLE,"SHOP 1
177 MITCHELL ROAD","ERSKINEVILLE
NSW",2043,AUSTRALIA,'AT241170004000010009044'
25/04/2024,27/04/2024,PAYPAL *CONDE NAST NEWY 8557561671,9.47,6.00 USD,0.28,,,PAYPAL *CONDE NAST NEWY 8557561671,2211 NORTH 1ST ST,"SAN JOSE
CA",95131,UNITED STATES,'AT241180009000010003962'
24/04/2024,24/04/2024,ALL PURPOSE BAKERY      Sydney,14.14,,,,,ALL PURPOSE BAKERY      Sydney,9 BARRACK STREET,"SYDNEY
NSW",2000,AUSTRALIA,'AT241150004000010008877'
24/04/2024,25/04/2024,EDITION ROASTERS MC 124 SYDNEY,6.00,,,,,EDITION ROASTERS MC 124 SYDNEY,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241160004000010006892'
24/04/2024,26/04/2024,GONG GROCER             SYDNEY,5.50,,,,,GONG GROCER             SYDNEY,644 GEORGE ST,"SYDNEY
NSW",2000,AUSTRALIA,'AT241170004000010009410'
24/04/2024,26/04/2024,KINOKUNIYA BOOK STORES  SYDNEY,65.40,,,,,KINOKUNIYA BOOK STORES  SYDNEY,"SHOP RP2.02 THE GALERIES
500 GEORGE STREET","SYDNEY
NSW",2000,AUSTRALIA,'AT241170004000010013165'
23/04/2024,23/04/2024,BPAY PAYMENT-THANK YOU REC # 2987836484,-4399.66,,,,,BPAY PAYMENT-THANK YOU REC # 2987836484,,,,,'AT241140022000010010045'
23/04/2024,24/04/2024,EDITION ROASTERS MC 124 SYDNEY,11.00,,,,,EDITION ROASTERS MC 124 SYDNEY,"197 PITT STREET
SHOP L0 51 MIDCITY CENTRE","SYDNEY
NSW",2000,AUSTRALIA,'AT241150004000010048620'
23/04/2024,25/04/2024,IKEA TEMPE              TEMPE,129.00,,,,,IKEA TEMPE              TEMPE,634-726 PRINCES HIGHWAY,"TEMPE
NSW",2044,AUSTRALIA,'AT241160004000010040508'
22/04/2024,24/04/2024,CHEMIST WAREHOUSE SYDNE SYDNEY,35.08,,,,,CHEMIST WAREHOUSE SYDNE SYDNEY,249-241 PITT STREET,"SYDNEY
NSW",2000,AUSTRALIA,'AT241150004000010036061'
22/04/2024,24/04/2024,UPPERROOM HOLDINGS PTY  SYDNEY,19.31,,,,,UPPERROOM HOLDINGS PTY  SYDNEY,220 PITT STREET,"SYDNEY
NSW",2000,AUSTRALIA,'AT241150004000010002374'
22/04/2024,23/04/2024,WW METRO 1211 PITT STRE SYDNEY,1.84,,,,,WW METRO 1211 PITT STRE SYDNEY,189 PITT STREET,"SYDNEY
NSW",2000,AUSTRALIA,'AT241140004000010019842'
21/04/2024,21/04/2024,BTB KIRRIBILLI          Milsons Point,10.54,,,,,BTB KIRRIBILLI          Milsons Point,2 ENNIS ROAD,"MILSONS POINT
NSW",2061,AUSTRALIA,'AT241120003000010057913'
20/04/2024,21/04/2024,MARKET CITY PHARMACY    HAYMARKET,21.00,,,,,MARKET CITY PHARMACY    HAYMARKET,SHOP R127 9 13 HAY STREET,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241120003000010039136'
20/04/2024,22/04/2024,THAI KEE IGA SUPERMARKE HAYMARKET,7.81,,,,,THAI KEE IGA SUPERMARKE HAYMARKET,"SHOP R 101 MARKET CITY
C 2A QUAY STREET","HAYMARKET
NSW",2000,AUSTRALIA,'AT241130004000010040037'
20/04/2024,22/04/2024,VICTORIA'S BASEMENT AUB AUBURN,641.40,,,,,VICTORIA'S BASEMENT AUB AUBURN,101 PARRAMATTA ROAD,"AUBURN
NSW",2144,AUSTRALIA,'AT241130004000010040903'
19/04/2024,20/04/2024,EDITION ROASTERS 79951  HAYMARKET,6.50,,,,,EDITION ROASTERS 79951  HAYMARKET,60 DARLING DRIVE,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241110004000010008446'
19/04/2024,21/04/2024,VICTORIA'S BASEMENT     ALEXANDRIA,17.95,,,,,VICTORIA'S BASEMENT     ALEXANDRIA,1 EUSTON ROAD,"ALEXANDRIA
NSW",2015,AUSTRALIA,'AT241120003000010028075'
18/04/2024,20/04/2024,BUDGET PETROL CHIPPENDA CHIPPENDALE,47.38,,,,,BUDGET PETROL CHIPPENDA CHIPPENDALE,70 REGENT STREET,"CHIPPENDALE
NSW",2008,AUSTRALIA,'AT241110004000010033245'
18/04/2024,18/04/2024,EDITION ROASTERS 79951  HAYMARKET,5.00,,,,,EDITION ROASTERS 79951  HAYMARKET,60 DARLING DRIVE,"HAYMARKET
NSW",2000,AUSTRALIA,'AT241090009000010004745'
18/04/2024,19/04/2024,KMART BROADWAY 1155     BROADWAY,-29.00,,,,,KMART BROADWAY 1155     BROADWAY,"BROADWAY S/C
1 BAY ST","ULTIMO
NSW",2007,AUSTRALIA,'AT241100003000010021971'
18/04/2024,19/04/2024,KMART BROADWAY 1155     BROADWAY,21.00,,,,,KMART BROADWAY 1155     BROADWAY,"BROADWAY S/C
1 BAY ST","ULTIMO
NSW",2007,AUSTRALIA,'AT241100003000010021970'
18/04/2024,19/04/2024,KMART BROADWAY 1155     BROADWAY,93.80,,,,,KMART BROADWAY 1155     BROADWAY,"BROADWAY S/C
1 BAY ST","ULTIMO
NSW",2007,AUSTRALIA,'AT241100003000010021972'
18/04/2024,20/04/2024,MYHEALTH DARLING SQUARE SYDNEY,143.52,,,,,MYHEALTH DARLING SQUARE SYDNEY,SHOP 1 64 DARLING DRIVE,"SYDNEY
NSW",2000,AUSTRALIA,'AT241110004000010026941'
